gid,gcode,date,home,away,home_score,away_score
0041400101,20150419/BKNATL,2015-04-19,ATL,BKN,99,92
0041400102,20150422/BKNATL,2015-04-22,ATL,BKN,96,91
0041400103,20150425/ATLBKN,2015-04-25,BKN,ATL,91,83
0041400104,20150427/ATLBKN,2015-04-27,BKN,ATL,120,115
0041400105,20150429/BKNATL,2015-04-29,ATL,BKN,107,97
0041400106,20150501/ATLBKN,2015-05-01,BKN,ATL,87,111
0041400111,20150419/BOSCLE,2015-04-19,CLE,BOS,113,100
0041400112,20150421/BOSCLE,2015-04-21,CLE,BOS,99,91
0041400113,20150423/CLEBOS,2015-04-23,BOS,CLE,95,103
0041400114,20150426/CLEBOS,2015-04-26,BOS,CLE,93,101
0041400121,20150418/MILCHI,2015-04-18,CHI,MIL,103,91
0041400122,20150420/MILCHI,2015-04-20,CHI,MIL,91,82
0041400123,20150423/CHIMIL,2015-04-23,MIL,CHI,106,113
0041400124,20150425/CHIMIL,2015-04-25,MIL,CHI,92,90
0041400125,20150427/MILCHI,2015-04-27,CHI,MIL,88,94
0041400126,20150430/CHIMIL,2015-04-30,MIL,CHI,66,120
0041400131,20150418/WASTOR,2015-04-18,TOR,WAS,86,93
0041400132,20150421/WASTOR,2015-04-21,TOR,WAS,106,117
0041400133,20150424/TORWAS,2015-04-24,WAS,TOR,106,99
0041400134,20150426/TORWAS,2015-04-26,WAS,TOR,125,94
0041400141,20150418/NOPGSW,2015-04-18,GSW,NOP,106,99
0041400142,20150420/NOPGSW,2015-04-20,GSW,NOP,97,87
0041400143,20150423/GSWNOP,2015-04-23,NOP,GSW,119,123
0041400144,20150425/GSWNOP,2015-04-25,NOP,GSW,98,109
0041400151,20150418/DALHOU,2015-04-18,HOU,DAL,118,108
0041400152,20150421/DALHOU,2015-04-21,HOU,DAL,111,99
0041400153,20150424/HOUDAL,2015-04-24,DAL,HOU,128,130
0041400154,20150426/HOUDAL,2015-04-26,DAL,HOU,121,109
0041400155,20150428/DALHOU,2015-04-28,HOU,DAL,103,94
0041400161,20150419/SASLAC,2015-04-19,LAC,SAS,107,92
0041400162,20150422/SASLAC,2015-04-22,LAC,SAS,107,111
0041400163,20150424/LACSAS,2015-04-24,SAS,LAC,100,73
0041400164,20150426/LACSAS,2015-04-26,SAS,LAC,105,114
0041400165,20150428/SASLAC,2015-04-28,LAC,SAS,107,111
0041400166,20150430/LACSAS,2015-04-30,SAS,LAC,96,102
0041400167,20150502/SASLAC,2015-05-02,LAC,SAS,111,109
0041400171,20150419/PORMEM,2015-04-19,MEM,POR,100,86
0041400172,20150422/PORMEM,2015-04-22,MEM,POR,97,82
0041400173,20150425/MEMPOR,2015-04-25,POR,MEM,109,115
0041400174,20150427/MEMPOR,2015-04-27,POR,MEM,99,92
0041400175,20150429/PORMEM,2015-04-29,MEM,POR,99,93
0041400201,20150503/WASATL,2015-05-03,ATL,WAS,98,104
0041400202,20150505/WASATL,2015-05-05,ATL,WAS,106,90
0041400203,20150509/ATLWAS,2015-05-09,WAS,ATL,103,101
0041400204,20150511/ATLWAS,2015-05-11,WAS,ATL,101,106
0041400205,20150513/WASATL,2015-05-13,ATL,WAS,82,81
0041400206,20150515/ATLWAS,2015-05-15,WAS,ATL,91,94
0041400211,20150504/CHICLE,2015-05-04,CLE,CHI,92,99
0041400212,20150506/CHICLE,2015-05-06,CLE,CHI,106,91
0041400213,20150508/CLECHI,2015-05-08,CHI,CLE,99,96
0041400214,20150510/CLECHI,2015-05-10,CHI,CLE,84,86
0041400215,20150512/CHICLE,2015-05-12,CLE,CHI,106,101
0041400216,20150514/CLECHI,2015-05-14,CHI,CLE,73,94
0041400221,20150503/MEMGSW,2015-05-03,GSW,MEM,101,86
0041400222,20150505/MEMGSW,2015-05-05,GSW,MEM,90,97
0041400223,20150509/GSWMEM,2015-05-09,MEM,GSW,99,89
0041400224,20150511/GSWMEM,2015-05-11,MEM,GSW,84,101
0041400225,20150513/MEMGSW,2015-05-13,GSW,MEM,98,78
0041400226,20150515/GSWMEM,2015-05-15,MEM,GSW,95,108
0041400231,20150504/LACHOU,2015-05-04,HOU,LAC,101,117
0041400232,20150506/LACHOU,2015-05-06,HOU,LAC,115,109
0041400233,20150508/HOULAC,2015-05-08,LAC,HOU,124,99
0041400234,20150510/HOULAC,2015-05-10,LAC,HOU,128,95
0041400235,20150512/LACHOU,2015-05-12,HOU,LAC,124,103
0041400236,20150514/HOULAC,2015-05-14,LAC,HOU,107,119
0041400237,20150517/LACHOU,2015-05-17,HOU,LAC,113,100
0041400301,20150520/CLEATL,2015-05-20,ATL,CLE,89,97
0041400302,20150522/CLEATL,2015-05-22,ATL,CLE,82,94
0041400303,20150524/ATLCLE,2015-05-24,CLE,ATL,114,111
0041400304,20150526/ATLCLE,2015-05-26,CLE,ATL,118,88
0041400311,20150519/HOUGSW,2015-05-19,GSW,HOU,110,106
0041400312,20150521/HOUGSW,2015-05-21,GSW,HOU,99,98
0041400313,20150523/GSWHOU,2015-05-23,HOU,GSW,80,115
0041400314,20150525/GSWHOU,2015-05-25,HOU,GSW,128,115
0041400315,20150527/HOUGSW,2015-05-27,GSW,HOU,104,90
0041400401,20150604/CLEGSW,2015-06-04,GSW,CLE,108,100
0041400402,20150607/CLEGSW,2015-06-07,GSW,CLE,93,95
0041400403,20150609/GSWCLE,2015-06-09,CLE,GSW,96,91
0041400404,20150611/GSWCLE,2015-06-11,CLE,GSW,82,103
0041400405,20150614/CLEGSW,2015-06-14,GSW,CLE,104,91
0041400406,20150616/GSWCLE,2015-06-16,CLE,GSW,97,105
