gid,gcode,date,home,home_score,away,away_score,national_tv
0011600001,20161001/GSWTOR,2016-10-01,TOR,97,GSW,93,NBA TV
0011600002,20161001/DALNOP,2016-10-01,NOP,116,DAL,102,NA
0011600003,20161002/SDSHOU,2016-10-02,HOU,131,SDS,94,NBA TV
0011600004,20161003/DENTOR,2016-10-03,TOR,106,DEN,108,NA
0011600005,20161003/MILCHI,2016-10-03,CHI,91,MIL,93,NBA TV
0011600006,20161003/ORLMEM,2016-10-03,MEM,102,ORL,97,NA
0011600007,20161003/SASPHX,2016-10-03,PHX,91,SAS,86,NA
0011600009,20161003/CHADAL,2016-10-03,DAL,95,CHA,88,NA
0011600010,20161003/OKCRMD,2016-10-03,RMD,142,OKC,137,NBA TV
0011600011,20161004/BOSPHI,2016-10-04,PHI,92,BOS,89,NA
0011600012,20161004/MIAWAS,2016-10-04,WAS,95,MIA,106,NA
0011600013,20161004/INDNOP,2016-10-04,NOP,96,IND,113,NA
0011600014,20161004/NYKHOU,2016-10-04,HOU,130,NYK,103,ESPN
0011600015,20161004/SACLAL,2016-10-04,LAL,103,SAC,84,NA
0011600016,20161004/LACGSW,2016-10-04,GSW,120,LAC,75,ESPN
0011600017,20161005/ORLCLE,2016-10-05,CLE,117,ORL,102,NBA TV
0011600018,20161005/UTAPHX,2016-10-05,PHX,99,UTA,104,NBA TV
0011600019,20161005/TORLAC,2016-10-05,LAC,104,TOR,98,NA
0011600020,20161005/OKCFCB,2016-10-05,FCB,89,OKC,92,NBA TV
0011600021,20161006/WASPHI,2016-10-06,PHI,119,WAS,125,NBA TV
0011600022,20161006/CHIIND,2016-10-06,IND,115,CHI,108,NA
0011600023,20161006/ATLMEM,2016-10-06,MEM,83,ATL,104,NA
0011600024,20161006/DETBKN,2016-10-06,BKN,101,DET,94,NA
0011600025,20161006/BOSCHA,2016-10-06,CHA,92,BOS,107,NA
0011600026,20161006/SACGSW,2016-10-06,GSW,105,SAC,96,NA
0011600027,20161007/PHXPOR,2016-10-07,POR,115,PHX,110,NA
0011600028,20161007/DENLAL,2016-10-07,LAL,97,DEN,101,NBA TV
0011600029,20161008/CHABOS,2016-10-08,BOS,104,CHA,86,NBA TV
0011600030,20161008/INDCHI,2016-10-08,CHI,121,IND,105,NA
0011600031,20161008/BKNNYK,2016-10-08,NYK,116,BKN,98,NA
0011600032,20161008/MINMIA,2016-10-08,MIA,100,MIN,109,NA
0011600033,20161008/PHICLE,2016-10-08,CLE,108,PHI,105,NBA TV
0011600034,20161008/DALMIL,2016-10-08,MIL,88,DAL,74,NA
0011600035,20161008/ATLSAS,2016-10-08,SAS,102,ATL,91,NA
0011600036,20161009/DENLAL,2016-10-09,LAL,124,DEN,115,NBA TV
0011600037,20161009/NOPHOU,2016-10-09,HOU,123,NOP,117,NBA TV
0011600038,20161010/MINCHA,2016-10-10,CHA,98,MIN,86,NA
0011600039,20161010/WASNYK,2016-10-10,NYK,90,WAS,88,NBA TV
0011600040,20161010/CLEATL,2016-10-10,ATL,99,CLE,93,NA
0011600041,20161010/SASDET,2016-10-10,DET,81,SAS,86,NA
0011600042,20161010/UTALAC,2016-10-10,LAC,94,UTA,96,NBA TV
0011600043,20161010/MACSAC,2016-10-10,SAC,135,MAC,96,NA
0011600044,20161011/PHIMEM,2016-10-11,MEM,121,PHI,91,NA
0011600045,20161011/BKNMIA,2016-10-11,MIA,121,BKN,100,NBA TV
0011600046,20161011/OKCDAL,2016-10-11,DAL,114,OKC,109,NA
0011600047,20161011/PORLAL,2016-10-11,LAL,106,POR,109,NBA TV
0011600048,20161012/MILIND,2016-10-12,IND,101,MIL,83,NA
0011600049,20161012/SASORL,2016-10-12,ORL,89,SAS,95,NA
0011600050,20161012/DENMIN,2016-10-12,MIN,105,DEN,88,NA
0011600051,20161012/PHXUTA,2016-10-12,UTA,110,PHX,111,NBA TV
0011600052,20161012/HOUNOP,2016-10-12,NOP,104,HOU,116,NBA TV
0011600053,20161013/PHIWAS,2016-10-13,WAS,100,PHI,79,NA
0011600054,20161013/MEMOKC,2016-10-13,OKC,94,MEM,110,NA
0011600055,20161013/BOSBKN,2016-10-13,BKN,97,BOS,100,NA
0011600056,20161013/DETATL,2016-10-13,ATL,94,DET,99,NA
0011600057,20161013/PORLAC,2016-10-13,LAC,109,POR,108,TNT
0011600058,20161013/SACLAL,2016-10-13,LAL,104,SAC,116,NA
0011600059,20161013/TORCLE,2016-10-13,CLE,94,TOR,119,TNT
0011600060,20161014/SLATOR,2016-10-14,TOR,122,SLA,105,NA
0011600061,20161014/INDORL,2016-10-14,ORL,114,IND,106,NA
0011600062,20161014/CLECHI,2016-10-14,CHI,118,CLE,108,NBA TV
0011600063,20161014/GSWDEN,2016-10-14,DEN,128,GSW,129,NA
0011600064,20161014/DALPHX,2016-10-14,PHX,112,DAL,107,NA
0011600065,20161014/MIASAS,2016-10-14,SAS,100,MIA,108,NA
0011600066,20161015/DETPHI,2016-10-15,PHI,76,DET,97,NA
0011600067,20161015/MEMHOU,2016-10-15,HOU,125,MEM,134,NA
0011600068,20161015/GSWLAL,2016-10-15,LAL,107,GSW,112,NBA TV
0011600069,20161015/WASSAC,2016-10-15,SAC,124,WAS,119,NA
0011600070,20161015/BOSNYK,2016-10-15,NYK,107,BOS,119,NBA TV
0011600071,20161015/MINMIA,2016-10-15,MIA,96,MIN,101,NA
0011600072,20161015/CHIMIL,2016-10-15,MIL,86,CHI,107,NA
0011600073,20161016/ATLORL,2016-10-16,ORL,98,ATL,105,NBA TV
0011600074,20161016/MINOKC,2016-10-16,OKC,112,MIN,94,NA
0011600075,20161016/DENPOR,2016-10-16,POR,97,DEN,106,NBA TV
0011600076,20161017/CHACHI,2016-10-17,CHI,104,CHA,108,NBA TV
0011600077,20161017/LACUTA,2016-10-17,UTA,104,LAC,78,NA
0011600078,20161017/BKNBOS,2016-10-17,BOS,120,BKN,99,NA
0011600079,20161017/MILDET,2016-10-17,DET,102,MIL,78,NA
0011600080,20161018/WASCLE,2016-10-18,CLE,91,WAS,96,NA
0011600081,20161018/DENOKC,2016-10-18,OKC,97,DEN,87,NA
0011600082,20161018/LACSAC,2016-10-18,SAC,89,LAC,92,ESPN
0011600083,20161018/NOPATL,2016-10-18,ATL,96,NOP,89,NBA TV
0011600084,20161018/ORLMIA,2016-10-18,MIA,107,ORL,77,NA
0011600085,20161019/INDMIL,2016-10-19,MIL,111,IND,103,NA
0011600086,20161019/MEMMIN,2016-10-19,MIN,101,MEM,94,NA
0011600087,20161019/PORUTA,2016-10-19,UTA,84,POR,88,NA
0011600088,20161019/GSWLAL,2016-10-19,LAL,112,GSW,123,ESPN
0011600089,20161019/NYKBOS,2016-10-19,BOS,96,NYK,121,ESPN
0011600090,20161019/TORDET,2016-10-19,DET,92,TOR,103,NA
0011600091,20161019/HOUDAL,2016-10-19,DAL,91,HOU,106,NA
0011600092,20161020/MIACHA,2016-10-20,CHA,96,MIA,88,NA
0011600093,20161020/NOPORL,2016-10-20,ORL,114,NOP,111,NA
