gid,gcode,date,home,away
0029600001,19961101CHIBOS,1996-11-01,BOS,CHI
0029600002,19961101CLENJN,1996-11-01,BKN,CLE
0029600003,19961101MILPHI,1996-11-01,PHI,MIL
0029600004,19961101WASORL,1996-11-01,ORL,WAS
0029600005,19961101ATLMIA,1996-11-01,MIA,ATL
0029600006,19961101NYKTOR,1996-11-01,TOR,NYK
0029600007,19961101INDDET,1996-11-01,DET,IND
0029600008,19961101SASMIN,1996-11-01,MIN,SAS
0029600009,19961101SACHOU,1996-11-01,HOU,SAC
0029600010,19961101DALDEN,1996-11-01,DEN,DAL
0029600011,19961101SEAUTA,1996-11-01,UTA,OKC
0029600012,19961101PHXLAL,1996-11-01,LAL,PHX
0029600013,19961101LACGSW,1996-11-01,GSW,LAC
0029600014,19961101PORVAN,1996-11-01,MEM,POR
0029600015,19961102CLEWAS,1996-11-02,WAS,CLE
0029600016,19961102TORCHH,1996-11-02,NOP,TOR
0029600017,19961102DETATL,1996-11-02,ATL,DET
0029600018,19961102MIAIND,1996-11-02,IND,MIA
0029600019,19961102PHICHI,1996-11-02,CHI,PHI
0029600020,19961102BOSMIL,1996-11-02,MIL,BOS
0029600021,19961102SACDAL,1996-11-02,DAL,SAC
0029600022,19961102HOUPHX,1996-11-02,PHX,HOU
0029600023,19961102UTALAC,1996-11-02,LAC,UTA
0029600024,19961102PORSEA,1996-11-02,OKC,POR
0029600025,19961103CHHNYK,1996-11-03,NYK,NOP
0029600026,19961103DENSAS,1996-11-03,SAS,DEN
0029600027,19961103MINLAL,1996-11-03,LAL,MIN
0029600028,19961103GSWVAN,1996-11-03,MEM,GSW
0029600029,19961104HOUUTA,1996-11-04,UTA,HOU
0029600030,19961104ATLPOR,1996-11-04,POR,ATL
0029600031,19961105LALNYK,1996-11-05,NYK,LAL
0029600032,19961105DETPHI,1996-11-05,PHI,DET
0029600033,19961105DALTOR,1996-11-05,TOR,DAL
0029600034,19961105SASCLE,1996-11-05,CLE,SAS
0029600035,19961105VANCHI,1996-11-05,CHI,MEM
0029600036,19961105LACDEN,1996-11-05,DEN,LAC
0029600037,19961105MINPHX,1996-11-05,PHX,MIN
0029600038,19961105PORGSW,1996-11-05,GSW,POR
0029600039,19961105HOUSAC,1996-11-05,SAC,HOU
0029600040,19961105ATLSEA,1996-11-05,OKC,ATL
0029600041,19961106INDBOS,1996-11-06,BOS,IND
0029600042,19961106SASWAS,1996-11-06,WAS,SAS
0029600043,19961106CHIMIA,1996-11-06,MIA,CHI
0029600044,19961106LALCHH,1996-11-06,NOP,LAL
0029600045,19961106DALDET,1996-11-06,DET,DAL
0029600046,19961106VANMIL,1996-11-06,MIL,MEM
0029600047,19961107ORLNJN,1996-11-07,BKN,ORL
0029600048,19961107HOUDEN,1996-11-07,DEN,HOU
0029600049,19961107SEAPHX,1996-11-07,PHX,OKC
0029600050,19961107NYKGSW,1996-11-07,GSW,NYK
0029600051,19961107ATLSAC,1996-11-07,SAC,ATL
0029600052,19961107MINPOR,1996-11-07,POR,MIN
0029600053,19961108PHIBOS,1996-11-08,BOS,PHI
0029600054,19961108CHHWAS,1996-11-08,WAS,NOP
0029600055,19961108NJNORL,1996-11-08,ORL,BKN
0029600056,19961108MILMIA,1996-11-08,MIA,MIL
0029600057,19961108LALTOR,1996-11-08,TOR,LAL
0029600058,19961108VANCLE,1996-11-08,CLE,MEM
0029600059,19961108CHIDET,1996-11-08,DET,CHI
0029600060,19961108SEASAS,1996-11-08,SAS,OKC
