Referee,Team,Games,Total fouls,Shooting,Personal,Technical
Aaron Smith,ATL,32,10.84375,5.9375,2.875,0.28125
Aaron Smith,BKN,31,11.870967741935484,6.387096774193548,3.4838709677419355,0.12903225806451613
Aaron Smith,BOS,33,10.636363636363637,5.818181818181818,3.212121212121212,0.18181818181818182
Aaron Smith,CHA,26,10.538461538461538,6.269230769230769,2.6153846153846154,0.11538461538461539
Aaron Smith,CHI,24,11.5,5.75,3.4166666666666665,0.16666666666666666
Aaron Smith,CLE,20,10.4,5.55,2.9,0.3
Aaron Smith,DAL,24,10.583333333333334,5.208333333333333,3.625,0.16666666666666666
Aaron Smith,DEN,26,10.576923076923077,5.1923076923076925,3.3846153846153846,0.23076923076923078
Aaron Smith,DET,33,11.090909090909092,5.848484848484849,3.3636363636363638,0.2727272727272727
Aaron Smith,GSW,32,11.96875,6.03125,3.8125,0.3125
Aaron Smith,HOU,29,11.241379310344827,6.206896551724138,3.1379310344827585,0.2413793103448276
Aaron Smith,IND,29,10.96551724137931,5.517241379310345,3.310344827586207,0.3793103448275862
Aaron Smith,LAC,28,12.392857142857142,5.821428571428571,4.035714285714286,0.39285714285714285
Aaron Smith,LAL,24,11.458333333333334,5.791666666666667,2.8333333333333335,0.5416666666666666
Aaron Smith,MEM,27,10.407407407407407,5.037037037037037,3.185185185185185,0.25925925925925924
Aaron Smith,MIA,39,11.35897435897436,5.666666666666667,3.3076923076923075,0.2564102564102564
Aaron Smith,MIL,32,11.03125,5.40625,3.4375,0.03125
Aaron Smith,MIN,34,11.705882352941176,6.411764705882353,3.088235294117647,0.35294117647058826
Aaron Smith,NOP,23,12.043478260869565,6.782608695652174,2.9565217391304346,0.43478260869565216
Aaron Smith,NYK,25,10.96,6.28,2.76,0.12
Aaron Smith,OKC,24,10.916666666666666,6,2.7083333333333335,0.08333333333333333
Aaron Smith,ORL,32,10.875,5.75,3.03125,0.1875
Aaron Smith,PHI,40,11.75,6.85,3.125,0.175
Aaron Smith,PHX,25,11.8,6.48,3.12,0.28
Aaron Smith,POR,25,11.88,6.08,3.84,0.24
Aaron Smith,SAC,27,11.62962962962963,6.444444444444445,2.740740740740741,0.2222222222222222
Aaron Smith,SAS,30,10.866666666666667,6.5,2.8666666666666667,0.13333333333333333
Aaron Smith,TOR,29,11.10344827586207,5.310344827586207,3.8620689655172415,0.06896551724137931
Aaron Smith,UTA,21,10.952380952380953,5.666666666666667,3.380952380952381,0.2857142857142857
Aaron Smith,WAS,26,11.846153846153847,6.653846153846154,3.3461538461538463,0.38461538461538464
Andy Nagy,ATL,13,12.461538461538462,6.923076923076923,3.1538461538461537,0.3076923076923077
Andy Nagy,BKN,10,11.6,6.7,3.2,0
Andy Nagy,BOS,17,11.705882352941176,6.764705882352941,2.823529411764706,0.11764705882352941
Andy Nagy,CHA,6,13.166666666666666,7.666666666666667,3.6666666666666665,0.16666666666666666
Andy Nagy,CHI,13,11.923076923076923,6.615384615384615,2.6923076923076925,0.3076923076923077
Andy Nagy,CLE,12,11,6.166666666666667,3.5,0.4166666666666667
Andy Nagy,DAL,15,11.466666666666667,6.666666666666667,2.4,0.26666666666666666
Andy Nagy,DEN,6,12.333333333333334,5.5,4.166666666666667,0.6666666666666666
Andy Nagy,DET,16,14.6875,7.8125,4.125,0.375
Andy Nagy,GSW,6,11,7.166666666666667,1.8333333333333333,0.3333333333333333
Andy Nagy,HOU,10,11.4,6.6,3.3,0.2
Andy Nagy,IND,19,13,7.578947368421052,3.1052631578947367,0.5263157894736842
Andy Nagy,LAC,8,12,6.25,3.5,0.125
