season,season_prefix,Referee,Games,Total fouls,Shooting,Personal,Loose ball,Personal take,Offensive charge,Offensive,Kicked ball,Technical,Defensive goaltending,Shooting block,Defensive 3 seconds,Delay of game,Personal block,Flagrant 1,Away from play,Double technical,Clear path,Double personal,Inbound foul,Delay technical,Lane violation,Jump ball violation,Flagrant 2,Hanging technical,Unsportsmanlike technical,Taunting technical,Excess timeout technical,Double lane,Too many players technical,season_alpha,season_type,mode,max_date
2017,002,Aaron Smith,53,9.75,4.94,2.68,0.38,0.51,0.17,0.15,0.11,0.28,0.13,0.09,0.06,0.11,0.02,0.06,0.02,0,0,0.02,0,0,0,0,0.02,0,0,0,0,0,0,2016-17,Regular Season,Per Game,2024-03-24
2017,002,Ben Taylor,51,15.67,6.41,4.35,1.24,0.45,0.24,1.02,0.22,0.43,0.29,0.33,0.12,0.16,0.22,0.04,0.02,0,0.02,0,0.04,0,0.06,0,0.02,0,0,0,0,0,0,2016-17,Regular Season,Per Game,2024-03-24
2017,002,Bennie Adams,59,16.15,6.22,5.12,1.1,0.49,0.44,0.92,0.12,0.34,0.08,0.49,0.17,0.27,0.14,0.05,0.03,0.03,0.02,0.02,0.03,0,0.03,0,0,0.02,0,0.02,0,0,0,2016-17,Regular Season,Per Game,2024-03-24
2017,002,Bill Kennedy,65,13.23,6.02,3.68,0.66,0.25,0.37,0.8,0.15,0.15,0.25,0.17,0.25,0.17,0.12,0.06,0.02,0.03,0.02,0.02,0.02,0,0.03,0,0,0,0.02,0,0,0,0,2016-17,Regular Season,Per Game,2024-03-24
2017,002,Bill Spooner,58,11.47,4.91,2.83,0.76,0.31,0.43,0.74,0.19,0.19,0.1,0.26,0.12,0.22,0.12,0.05,0.02,0.02,0,0.02,0.03,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0,0,0,2016-17,Regular Season,Per Game,2024-03-24
2017,002,Brent Barnaky,68,13.94,5.97,3.74,0.96,0.31,0.53,0.9,0.18,0.19,0.19,0.29,0.13,0.16,0.22,0.06,0.01,0.01,0.01,0.01,0.03,0,0.01,0,0,0.01,0,0,0,0,0,2016-17,Regular Season,Per Game,2024-03-24
2017,002,Brett Nansel,40,13.95,8.03,3.38,0.62,0.22,0.4,0.32,0.25,0.07,0.07,0.22,0.03,0.07,0.22,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,2016-17,Regular Season,Per Game,2024-03-24
2017,002,Brian Forte,65,12.92,5.92,3.97,0.45,0.23,0.34,0.46,0.18,0.18,0.11,0.35,0.32,0.14,0.15,0.03,0.02,0.02,0.02,0,0,0.02,0.02,0,0,0,0,0,0,0,0,2016-17,Regular Season,Per Game,2024-03-24
2017,002,CJ Washington,44,13.91,6.45,3.73,1.05,0.3,0.27,0.68,0.23,0.27,0.07,0.3,0.14,0.02,0.2,0.05,0,0,0.02,0.02,0.07,0,0.02,0,0.02,0,0,0,0,0,0,2016-17,Regular Season,Per Game,2024-03-24
2017,002,Courtney Kirkland,62,14.98,6.53,3.81,1.34,0.26,0.5,1.05,0.48,0.18,0.18,0.15,0.1,0.16,0.15,0.02,0.02,0,0.03,0,0,0.02,0,0.02,0,0.02,0,0,0,0,0,2016-17,Regular Season,Per Game,2024-03-24
2017,002,Curtis Blair,50,13.62,6.48,4.22,0.6,0.24,0.34,0.38,0.2,0.14,0.08,0.3,0.16,0.08,0.34,0.02,0,0,0,0,0,0,0.02,0,0,0.02,0,0,0,0,0,2016-17,Regular Season,Per Game,2024-03-24
2017,002,Dan Crawford,60,15.78,6.45,4.55,1.18,0.3,0.52,1.05,0.27,0.17,0.2,0.27,0.12,0.17,0.22,0.03,0.02,0.1,0.02,0.05,0.03,0,0.03,0,0,0.02,0,0,0.03,0,0,2016-17,Regular Season,Per Game,2024-03-24
2017,002,David Guthrie,44,16.25,6.75,5.14,1.14,0.18,0.41,0.7,0.18,0.27,0.16,0.57,0.07,0.14,0.32,0.07,0.02,0,0.02,0.05,0.05,0,0.02,0,0,0,0,0,0,0,0,2016-17,Regular Season,Per Game,2024-03-24
2017,002,Dedric Taylor,55,13.71,6.6,3.58,0.84,0.4,0.27,0.53,0.29,0.13,0.18,0.25,0.11,0.15,0.25,0.02,0.02,0,0,0,0.05,0.02,0,0,0,0.02,0,0,0,0,0,2016-17,Regular Season,Per Game,2024-03-24
2017,002,Derek Richardson,47,13.23,6.26,3.17,0.47,0.47,0.3,0.81,0.15,0.04,0.19,0.43,0.3,0.23,0.23,0.02,0.02,0.02,0.02,0.04,0,0.02,0.04,0,0,0,0,0,0,0,0,2016-17,Regular Season,Per Game,2024-03-24
